                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.63843,                0.44675,                 1.1506,                0.95575,                0.97452,                 0.9923,                0.89387,                0.50006,                 0.2974,                 1.0358,              0.0013268,              0.0013268,              0.0013268
                     37,                0.63227,                 0.4395,                 1.1416,                0.96851,                0.97961,                0.99015,                0.86159,                 0.5149,                0.33134,                 1.0827,               0.001307,               0.001307,               0.001307
                     38,                0.63429,                0.43909,                 1.1571,                0.97214,                0.98089,                0.99209,                0.87327,                0.51524,                0.36632,                 1.0586,              0.0012872,              0.0012872,              0.0012872
                     39,                0.63598,                0.45107,                 1.1524,                0.98062,                0.96695,                0.99083,                0.89753,                0.46416,                0.30629,                 1.0272,              0.0012674,              0.0012674,              0.0012674
                     40,                0.61373,                0.41408,                 1.1367,                0.97497,                0.99258,                 0.9945,                 0.9119,                0.52267,                0.29892,                 1.0607,              0.0012476,              0.0012476,              0.0012476
                     41,                0.60398,                0.42033,                 1.1293,                0.95682,                0.98089,                0.99244,                0.90121,                0.45381,                0.36371,                 1.0244,              0.0012278,              0.0012278,              0.0012278
                     42,                0.60155,                0.42037,                 1.1286,                0.96679,                      1,                0.99276,                0.92813,                0.44903,                0.34213,                0.99246,               0.001208,               0.001208,               0.001208
                     43,                0.59516,                0.41794,                 1.1307,                0.96305,                0.99599,                0.99191,                0.92097,                0.45922,                0.28745,                 1.0251,              0.0011882,              0.0011882,              0.0011882
                     44,                0.59853,                0.42221,                 1.1365,                0.97904,                0.98089,                0.99294,                0.91482,                0.53147,                0.32782,                 1.1052,              0.0011684,              0.0011684,              0.0011684
                     45,                0.60086,                0.41721,                 1.1332,                0.99572,                0.98089,                0.99481,                0.89501,                0.47991,                0.29209,                 1.0103,              0.0011486,              0.0011486,              0.0011486
                     46,                0.58138,                0.40981,                 1.1148,                 0.9623,                0.96178,                0.99087,                0.90823,                0.42136,                0.28652,                0.99422,              0.0011288,              0.0011288,              0.0011288
                     47,                0.58919,                0.40352,                 1.1144,                0.96262,                 0.9842,                0.99347,                0.90834,                 0.4512,                0.30658,                0.99156,               0.001109,               0.001109,               0.001109
                     48,                0.58507,                0.40246,                 1.1215,                0.95962,                0.98089,                 0.9921,                0.91471,                0.42191,                0.29595,                0.98011,              0.0010892,              0.0010892,              0.0010892
                     49,                0.57918,                0.39966,                 1.1104,                0.96824,                0.98726,                0.99313,                0.91906,                0.44388,                0.28623,                0.99201,              0.0010694,              0.0010694,              0.0010694
                     50,                0.57272,                0.39067,                 1.1097,                0.97417,                0.96084,                0.99135,                0.89859,                0.53204,                 0.3227,                 1.0878,              0.0010496,              0.0010496,              0.0010496
                     51,                0.57259,                0.39968,                 1.1101,                 0.9803,                0.96815,                0.99304,                0.92292,                0.45716,                0.29446,                0.99338,              0.0010298,              0.0010298,              0.0010298
                     52,                0.55612,                0.38105,                 1.1023,                0.97874,                0.96815,                 0.9935,                0.89511,                0.45293,                0.33726,                 1.0002,                0.00101,                0.00101,                0.00101
                     53,                0.55675,                0.37884,                 1.1045,                0.96713,                0.99363,                0.99412,                0.91687,                0.45926,                0.31374,                 1.0327,              0.0009902,              0.0009902,              0.0009902
                     54,                0.54679,                0.37494,                 1.0883,                0.97722,                0.98726,                0.99322,                0.92747,                0.45133,                0.29263,                 1.0287,              0.0009704,              0.0009704,              0.0009704
                     55,                0.55955,                0.38049,                 1.0967,                0.97493,                0.99095,                0.99266,                0.92225,                0.42738,                0.26993,                0.98592,              0.0009506,              0.0009506,              0.0009506
                     56,                0.54395,                0.38102,                 1.0987,                0.97585,                0.98726,                0.99185,                0.92495,                0.39152,                0.27929,                0.97282,              0.0009308,              0.0009308,              0.0009308
                     57,                0.53945,                0.37734,                 1.0855,                0.98619,                      1,                0.99404,                0.92267,                0.41773,                0.27024,                0.98739,               0.000911,               0.000911,               0.000911
                     58,                0.54764,                0.37557,                 1.0966,                0.97944,                0.97452,                0.99318,                0.91134,                0.46325,                 0.2902,                 1.0265,              0.0008912,              0.0008912,              0.0008912
                     59,                0.53802,                0.37126,                 1.0946,                0.96833,                0.99363,                0.99057,                0.90477,                 0.4346,                0.32285,                0.99514,              0.0008714,              0.0008714,              0.0008714
                     60,                0.53415,                0.36579,                 1.0894,                 0.9565,                0.98047,                0.99233,                0.90659,                0.45302,                 0.3405,                 1.0183,              0.0008516,              0.0008516,              0.0008516
                     61,                0.53803,                0.35704,                 1.0892,                 0.9856,                0.96178,                0.99351,                0.93138,                0.38767,                 0.2554,                0.96317,              0.0008318,              0.0008318,              0.0008318
                     62,                0.52706,                0.35772,                 1.0829,                0.96849,                0.97871,                0.99293,                0.94081,                0.37096,                0.29698,                0.94532,               0.000812,               0.000812,               0.000812
                     63,                0.53634,                0.37231,                 1.0867,                0.95654,                      1,                 0.9918,                0.91425,                0.45909,                0.32191,                 1.0129,              0.0007922,              0.0007922,              0.0007922
                     64,                0.53119,                0.36463,                  1.085,                0.96862,                0.98308,                0.99342,                0.91284,                0.41289,                 0.2847,                0.97117,              0.0007724,              0.0007724,              0.0007724
                     65,                0.51644,                0.35394,                 1.0721,                0.97484,                      1,                0.99097,                0.92348,                0.38301,                 0.2698,                0.94683,              0.0007526,              0.0007526,              0.0007526
                     66,                0.50836,                0.34793,                 1.0686,                0.95691,                0.99022,                0.99195,                0.92626,                0.40926,                0.29416,                0.96875,              0.0007328,              0.0007328,              0.0007328
                     67,                0.50702,                0.34924,                 1.0722,                0.97484,                0.98713,                0.99424,                0.92431,                0.42175,                0.29368,                0.97005,               0.000713,               0.000713,               0.000713
                     68,                0.50669,                0.34169,                  1.065,                0.95727,                0.99894,                 0.9933,                 0.9282,                0.45314,                0.33818,                 1.0766,              0.0006932,              0.0006932,              0.0006932
                     69,                 0.4998,                0.34065,                 1.0644,                0.97857,                0.98089,                0.99405,                0.93808,                0.35201,                0.26248,                0.93445,              0.0006734,              0.0006734,              0.0006734
                     70,                0.49433,                0.33387,                 1.0573,                0.98009,                0.97452,                0.99282,                0.92952,                0.39446,                0.29976,                0.96087,              0.0006536,              0.0006536,              0.0006536
                     71,                0.48886,                0.33545,                 1.0569,                0.98679,                0.99363,                0.99437,                0.93503,                 0.3545,                0.22526,                0.92462,              0.0006338,              0.0006338,              0.0006338
                     72,                0.49656,                0.34105,                 1.0689,                0.97478,                0.99363,                0.99377,                0.93195,                0.45951,                0.27649,                 1.0383,               0.000614,               0.000614,               0.000614
                     73,                0.49138,                0.33629,                 1.0594,                0.96917,                      1,                0.99417,                0.93713,                0.44093,                0.24318,                 1.0447,              0.0005942,              0.0005942,              0.0005942
                     74,                0.48755,                0.34018,                 1.0577,                0.98023,                0.98726,                0.99424,                0.93499,                0.41084,                0.27364,                0.96916,              0.0005744,              0.0005744,              0.0005744
                     75,                0.49714,                0.34527,                  1.064,                0.98407,                0.99363,                0.99455,                 0.9334,                0.37492,                0.24304,                0.94544,              0.0005546,              0.0005546,              0.0005546
                     76,                0.47251,                0.32283,                 1.0497,                0.98461,                0.98089,                0.99352,                0.93374,                0.36157,                0.26917,                0.91466,              0.0005348,              0.0005348,              0.0005348
                     77,                 0.4796,                0.32365,                 1.0486,                0.98742,                0.99987,                0.99462,                 0.9398,                0.37544,                0.22298,                0.93557,               0.000515,               0.000515,               0.000515
                     78,                0.48734,                0.33177,                 1.0579,                0.98569,                0.99363,                0.99462,                0.94205,                0.39925,                0.21451,                 1.0104,              0.0004952,              0.0004952,              0.0004952
                     79,                 0.4707,                0.32324,                 1.0451,                0.98691,                      1,                 0.9941,                0.93198,                0.38996,                0.24447,                0.94319,              0.0004754,              0.0004754,              0.0004754
                     80,                0.47346,                0.31839,                 1.0534,                0.97473,                0.99363,                 0.9945,                0.93179,                0.36714,                0.23003,                0.93397,              0.0004556,              0.0004556,              0.0004556
