                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.65606,                0.46523,                 1.1606,                0.95607,                0.97032,                0.98595,                0.87124,                  0.512,                0.36774,                 1.0691,              0.0016634,              0.0016634,              0.0016634
                     37,                0.65894,                0.46494,                 1.1617,                0.97148,                0.99363,                0.98892,                0.87088,                 0.5619,                0.34705,                 1.1207,              0.0016535,              0.0016535,              0.0016535
                     38,                0.65581,                0.47241,                 1.1715,                0.94938,                0.99363,                0.98924,                0.89268,                0.48674,                0.37136,                  1.063,              0.0016436,              0.0016436,              0.0016436
                     39,                0.67556,                0.47304,                 1.1762,                0.95716,                0.96815,                0.98825,                0.87818,                0.52239,                0.35722,                 1.0567,              0.0016337,              0.0016337,              0.0016337
                     40,                0.63475,                0.43665,                 1.1493,                0.97227,                0.98726,                0.99224,                 0.9096,                0.44547,                0.30054,                0.99518,              0.0016238,              0.0016238,              0.0016238
                     41,                0.63043,                0.45279,                 1.1517,                0.93509,                0.99363,                0.98441,                0.89298,                0.47703,                0.36344,                 1.0233,              0.0016139,              0.0016139,              0.0016139
                     42,                0.62798,                 0.4414,                  1.145,                0.96135,                0.95055,                0.98999,                0.91944,                0.43124,                0.32936,                0.97944,               0.001604,               0.001604,               0.001604
                     43,                0.62478,                0.43146,                 1.1458,                0.96845,                0.97762,                0.99151,                0.90091,                  0.417,                0.32169,                0.99095,              0.0015941,              0.0015941,              0.0015941
                     44,                0.63027,                0.44793,                 1.1554,                0.96437,                0.96178,                 0.9889,                0.90077,                0.47563,                0.34125,                 1.0289,              0.0015842,              0.0015842,              0.0015842
                     45,                 0.6259,                0.43676,                 1.1466,                0.96036,                0.98089,                0.99063,                0.89951,                 0.5232,                0.35313,                 1.0606,              0.0015743,              0.0015743,              0.0015743
                     46,                0.62001,                   0.44,                 1.1389,                0.97131,                0.99363,                0.99193,                0.89603,                0.53102,                0.32273,                 1.0617,              0.0015644,              0.0015644,              0.0015644
                     47,                0.61151,                 0.4267,                 1.1279,                0.96891,                0.99239,                0.99315,                0.90782,                0.44172,                0.29828,                0.99975,              0.0015545,              0.0015545,              0.0015545
                     48,                  0.619,                0.43996,                 1.1461,                0.94501,                0.98511,                0.99067,                0.89797,                0.50539,                0.34546,                 1.0901,              0.0015446,              0.0015446,              0.0015446
                     49,                0.61538,                0.42918,                   1.13,                0.96654,                0.96815,                0.99152,                0.91741,                0.45063,                0.31748,                 1.0067,              0.0015347,              0.0015347,              0.0015347
                     50,                0.59894,                0.42044,                  1.125,                0.96144,                0.97452,                0.99059,                0.91231,                0.48504,                0.30757,                 1.0529,              0.0015248,              0.0015248,              0.0015248
                     51,                0.60168,                0.42809,                 1.1295,                 0.9503,                      1,                0.98931,                0.91203,                0.50076,                0.34029,                 1.0472,              0.0015149,              0.0015149,              0.0015149
                     52,                  0.597,                0.41297,                 1.1304,                0.97468,                0.98726,                0.99333,                0.90911,                0.49473,                0.28585,                 1.0914,               0.001505,               0.001505,               0.001505
                     53,                 0.5911,                0.40921,                 1.1246,                  0.956,                0.96879,                0.98878,                0.90166,                0.51603,                0.30845,                 1.1256,              0.0014951,              0.0014951,              0.0014951
                     54,                0.59419,                0.40433,                 1.1152,                 0.9383,                0.96857,                0.98813,                0.88859,                0.55808,                0.36534,                 1.1211,              0.0014852,              0.0014852,              0.0014852
                     55,                0.58446,                0.40531,                 1.1126,                0.98474,                0.98089,                0.99107,                0.89379,                 0.4474,                0.31348,                 1.0146,              0.0014753,              0.0014753,              0.0014753
                     56,                 0.5864,                0.40563,                 1.1258,                0.93336,                0.97452,                 0.9889,                0.89482,                0.49128,                0.36081,                 1.0321,              0.0014654,              0.0014654,              0.0014654
                     57,                0.57951,                 0.4086,                  1.109,                0.99231,                0.98726,                0.99328,                0.90158,                0.56913,                0.29688,                 1.1533,              0.0014555,              0.0014555,              0.0014555
                     58,                0.58998,                0.41464,                 1.1246,                0.96138,                0.99363,                0.99133,                0.89621,                0.48422,                0.32017,                 1.0541,              0.0014456,              0.0014456,              0.0014456
                     59,                0.58322,                0.40796,                 1.1206,                0.97199,                0.98089,                0.99003,                0.88962,                 0.5133,                0.34357,                 1.1033,              0.0014357,              0.0014357,              0.0014357
                     60,                0.57629,                0.39363,                 1.1107,                0.96834,                0.97398,                0.99001,                0.89786,                0.45191,                0.31596,                 1.0265,              0.0014258,              0.0014258,              0.0014258
                     61,                0.58489,                0.39163,                  1.118,                0.98553,                0.98089,                0.99328,                0.90441,                0.49077,                0.31423,                 1.0565,              0.0014159,              0.0014159,              0.0014159
                     62,                0.57066,                0.39374,                 1.1063,                0.95646,                0.97939,                0.99188,                0.90353,                0.46284,                0.30785,                 1.0104,               0.001406,               0.001406,               0.001406
                     63,                 0.5773,                0.41139,                 1.1134,                 0.9489,                0.97452,                 0.9905,                0.90423,                0.44871,                0.30437,                 1.0063,              0.0013961,              0.0013961,              0.0013961
                     64,                0.57385,                0.40104,                 1.1126,                0.96826,                0.97158,                0.99227,                0.90267,                0.42812,                0.27666,                0.99914,              0.0013862,              0.0013862,              0.0013862
                     65,                0.56504,                0.38831,                 1.1032,                0.98672,                0.94685,                0.99089,                0.90561,                0.44611,                0.31227,                  1.015,              0.0013763,              0.0013763,              0.0013763
                     66,                0.55198,                0.37893,                 1.0975,                0.94469,                0.99363,                0.98994,                0.89854,                0.44665,                0.29622,                  1.005,              0.0013664,              0.0013664,              0.0013664
                     67,                0.56911,                0.38714,                 1.1091,                0.97773,                0.98089,                0.99393,                0.91846,                0.44652,                0.29256,                 1.0135,              0.0013565,              0.0013565,              0.0013565
                     68,                0.55664,                0.38272,                  1.092,                0.96377,                0.97452,                 0.9927,                0.91723,                0.45505,                0.28018,                  1.032,              0.0013466,              0.0013466,              0.0013466
                     69,                0.55062,                0.37639,                 1.0949,                0.98585,                0.98726,                0.99331,                0.91687,                0.40764,                0.27921,                0.96722,              0.0013367,              0.0013367,              0.0013367
                     70,                0.54608,                0.37617,                 1.0897,                0.97454,                0.97525,                0.99342,                0.91243,                0.40848,                0.28787,                0.98214,              0.0013268,              0.0013268,              0.0013268
                     71,                0.54459,                0.37766,                 1.0879,                0.98075,                 0.9734,                0.99358,                0.92578,                0.44363,                0.29888,                0.99329,              0.0013169,              0.0013169,              0.0013169
                     72,                 0.5472,                0.37511,                 1.0968,                0.97739,                0.96815,                0.99358,                 0.9152,                0.49621,                0.30437,                 1.1022,               0.001307,               0.001307,               0.001307
                     73,                0.53973,                0.37264,                 1.0871,                0.97961,                0.98089,                0.99349,                0.90967,                0.47791,                0.27785,                 1.0896,              0.0012971,              0.0012971,              0.0012971
                     74,                0.54178,                0.38201,                 1.0872,                0.97945,                0.97452,                0.99376,                 0.9128,                0.48906,                0.30424,                 1.0699,              0.0012872,              0.0012872,              0.0012872
                     75,                0.56038,                0.37966,                  1.102,                0.98305,                0.96815,                0.99342,                0.92785,                0.45645,                0.31128,                 1.0215,              0.0012773,              0.0012773,              0.0012773
                     76,                0.53488,                0.36689,                 1.0879,                0.98043,                0.98726,                0.99404,                0.92588,                0.42733,                0.27692,                 0.9887,              0.0012674,              0.0012674,              0.0012674
